Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HWBB MinMax-WA 19-30/11/Vbg/4;90.900;+0.11%+0.100;03/08/202416:27:47;AT0000A28FL2;-;--;--;09/11/2030;D
HWBB MiniMax WA Vbg.18-29/7;92.400;+0.11%+0.100;03/08/202416:27:46;AT0000A23GH9;-;--;--;12/10/2029;D
HYPO-WOHN.WANDEL.14-26/22;95.150;+0.16%+0.150;03/08/202416:27:44;AT0000A1AK67;-;--;--;12/09/2026;D
RWBB var. WSV 15-26/11;93.100;+0.87%+0.800;03/08/202414:30:26;AT000B124540;6,000;--;--;05/13/2026;D
HWBB 3,90% WB-WA 23-34/7 OOE;103.750;+0.83%+0.850;03/08/202414:15:27;AT0000A36F20;16,000;--;--;07/28/2034;D
RLB.STMK FRN.16-24/14;99.350;+0.71%+0.700;03/08/202414:15:25;AT000B092861;20,000;--;--;07/15/2024;D
OOLB 0,25-0,75%Stfz-A19-27/19;87.950;-0.17%-0.150;03/08/202414:15:25;AT0000A2AKJ6;44,000;--;--;10/08/2027;D
RLB STMK 3,50% OBL 23-26/11;99.750;+0.15%+0.150;03/08/202414:15:24;AT000B093927;2,000;--;--;08/27/2026;D
Hypo-WBB 1,5% WA 18-30/1 OOE;85.610;+0.90%+0.760;03/08/202414:15:17;AT0000A1Z676;50,000;--;--;01/15/2030;D
BAWAG P.S.K.WB.WD10-25/03;99.010;+0.05%+0.050;03/08/202414:15:13;AT0000A0EX10;60,000;--;--;07/26/2025;D
HWBB MinMaxWA 19-31/13 Tir/S1;88.550;+0.02%+0.020;03/08/202414:15:07;AT0000A296C2;58,000;--;--;08/05/2031;D
Hypo-WBB WA OOE. 17-37/1;78.000;+0.26%+0.200;03/08/202414:15:05;AT0000A1Q048;120,000;--;--;01/12/2037;D
sWBB MinMax WBA 16-27/05;96.000;-0.10%-0.100;03/08/202414:15:02;AT000B116611;3,800;--;--;10/06/2027;D
BKS 0,60% Green Bond 20-26/4;93.500;+3.09%+2.800;03/08/202413:15:48;AT0000A2HL92;12,000;--;--;05/31/2026;D
OB nachr.Stufenz.Anl. 18-26;98.000;+1.55%+1.500;03/08/202413:15:41;AT000B126784;26,000;--;--;01/31/2026;D
RLBNOW 0,20% Fixz.Anl.19-24/66;94.000;-1.10%-1.050;03/08/202413:15:31;AT000B078555;40,000;--;--;10/29/2024;D
OB 3,50% Anleihe 22-27;97.520;+0.55%+0.530;03/08/202413:00:26;AT000B127253;6,000;--;--;12/14/2027;D
BKS 0,60% Obl. 19-26/1;93.100;-0.11%-0.100;03/08/202413:00:24;AT0000A28KW9;30,000;--;--;08/02/2026;D
BKS Stufenzins Obl. 16-25/1;98.700;-0.45%-0.450;03/08/202413:00:24;AT0000A1HTB1;78,000;--;--;02/11/2025;D
OB 3,8% Anl. 22-14.10.2027;98.580;-0.04%-0.040;03/08/202413:00:19;AT000B127246;80,000;--;--;10/14/2027;D
ASPKOO 2% NR Anl.20-30/3;80.290;+0.66%+0.530;03/08/202413:00:17;AT000B101407;6,000;--;--;10/16/2030;D
ASpkOOE Eurib.Fltr.17-24/2;99.530;+0.03%+0.030;03/08/202413:00:08;AT000B101258;100,000;--;--;07/23/2024;D
